station,valid,fx_valid,raw,is_tempo,fx_valid_end,sknt,drct,gust,visibility,presentwx,skyc,skyl,ws_level,ws_drct,ws_sknt,product_id,ftype
KACY,2026-01-18 02:21,2026-01-18 06:00,FM180600 06003KT 5SM BR BKN080,False,,3.0,60.0,0.0,5.0,['BR'],['BKN'],[8000],,,,202601180221-KPHI-FTUS41-TAFACY-AAC,Forecast
KACY,2026-01-18 02:21,2026-01-18 10:00,FM181000 09004KT 2SM -SN BR OVC020,False,,4.0,90.0,0.0,2.0,"['-SN', 'BR']",['OVC'],[2000],,,,202601180221-KPHI-FTUS41-TAFACY-AAC,Forecast
KACY,2026-01-18 02:21,2026-01-18 15:00,FM181500 04005KT 4SM -RASN BR OVC010,False,,5.0,40.0,0.0,4.0,"['-RASN', 'BR']",['OVC'],[1000],,,,202601180221-KPHI-FTUS41-TAFACY-AAC,Forecast
KACY,2026-01-18 02:21,2026-01-18 18:00,FM181800 34008KT 3SM -RA BR OVC005,False,,8.0,340.0,0.0,3.0,"['-RA', 'BR']",['OVC'],[500],,,,202601180221-KPHI-FTUS41-TAFACY-AAC,Forecast
KACY,2026-01-18 05:37,2026-01-18 05:37,1806/1906 00000KT P6SM BKN080,False,,0.0,0.0,0.0,6.01,[],['BKN'],[8000],,,,202601180537-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-18 05:37,2026-01-18 10:00,FM181000 02004KT 3SM -SN OVC015,False,,4.0,20.0,0.0,3.0,['-SN'],['OVC'],[1500],,,,202601180537-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 05:37,2026-01-18 14:00,FM181400 02005KT 2SM -RASN BR OVC007,False,,5.0,20.0,0.0,2.0,"['-RASN', 'BR']",['OVC'],[700],,,,202601180537-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 05:37,2026-01-18 18:00,FM181800 35008KT 1SM -RA BR OVC005,False,,8.0,350.0,0.0,1.0,"['-RA', 'BR']",['OVC'],[500],,,,202601180537-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 05:37,2026-01-18 23:00,FM182300 31006KT 3SM -SNRA OVC007,False,,6.0,310.0,0.0,3.0,['-SNRA'],['OVC'],[700],,,,202601180537-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 05:37,2026-01-19 02:00,FM190200 30006KT P6SM OVC015,False,,6.0,300.0,0.0,6.01,[],['OVC'],[1500],,,,202601180537-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 11:37,2026-01-18 11:37,1812/1912 02004KT 3SM -RASN OVC020,False,,4.0,20.0,0.0,3.0,['-RASN'],['OVC'],[2000],,,,202601181137-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-18 11:37,2026-01-18 14:00,FM181400 02005KT 2SM -RA BR OVC007,False,,5.0,20.0,0.0,2.0,"['-RA', 'BR']",['OVC'],[700],,,,202601181137-KPHI-FTUS41-TAFACY,Forecast
