station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,anomaly,anomaly_score,is_anomaly,PC1,PC2
OOA,2026-01-23 14:55,-9.0,-26.0,41.88,360.0,17.0,0.0,30.79,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-33.64,KOOA 231455Z AUTO 36017KT 10SM CLR M23/M32 A3079 RMK AO2 T12271323,M,-1,-0.6084599745284797,1,-4.615673068253516,1.2324767407167707
OOA,2026-01-09 01:35,60.0,55.0,83.54,210.0,16.0,0.0,29.26,M,10.0,24.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.0,KOOA 090135Z AUTO 21016G24KT 10SM CLR 16/13 A2926 RMK AO2 T01550128,M,-1,-0.6065042294219557,1,4.252332832114066,1.7364041463151085
OOA,2026-01-23 15:55,-6.5,-24.7,39.73,360.0,15.0,0.0,30.82,M,10.0,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-29.13,KOOA 231555Z AUTO 36015G20KT 10SM CLR M21/M31 A3082 RMK AO2 T12141315,M,-1,-0.6056931417796158,1,-4.582105703393376,1.0678423045864054
OOA,2026-01-23 15:15,-8.5,-26.0,40.86,360.0,15.0,0.0,30.8,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-31.72,KOOA 231515Z AUTO 36015KT 10SM CLR M22/M32 A3080 RMK AO2 T12251323,M,-1,-0.6056081575885999,1,-4.6337979518398384,1.0195957078978126
OOA,2026-01-24 18:15,3.0,-5.0,68.57,100.0,4.0,0.0,30.6,M,2.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-6.44,KOOA 241815Z AUTO 10004KT 2SM CLR M16/M20 A3060 RMK AO2 T11611205,M,-1,-0.6045308113887555,1,-1.4490460361905595,-2.5833713990678975
OOA,2026-01-06 14:55,41.4,41.0,98.46,0.0,0.0,0.0,29.68,M,0.5,M,VV ,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,41.4,KOOA 061455Z AUTO 00000KT 1/2SM VV005 05/05 A2968 RMK AO2 T00520051,M,-1,-0.6031494163503636,1,3.9866611737490016,-3.032638508566047
OOA,2026-01-24 17:35,1.6,-7.0,66.43,100.0,3.0,0.0,30.62,M,5.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-6.06,KOOA 241735Z AUTO 10003KT 5SM CLR M17/M22 A3062 RMK AO2 T11691217,M,-1,-0.6008981125991002,1,-1.9858041917172202,-2.4075633644728964
OOA,2026-01-30 17:35,14.0,6.6,71.85,10.0,11.0,0.0,30.5,M,2.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-0.28,KOOA 301735Z AUTO 01011KT 2 1/2SM M10/M14 A3050 RMK AO2 SKY OBSCURED VIS 1 1/2V5 T10991141,M,-1,-0.5987709372082113,1,-0.46072881550419253,-1.9732841158465837
OOA,2026-01-23 13:15,-9.4,-24.5,46.26,350.0,18.0,0.0,30.76,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-34.75,KOOA 231315Z AUTO 35018KT 10SM CLR M23/M31 A3076 RMK AO2 T12301314,M,-1,-0.5986870995028328,1,-4.418491620400313,1.2282981681529204
OOA,2026-01-09 07:55,39.4,39.2,99.22,300.0,22.0,0.01,29.64,M,4.0,25.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.49,KOOA 090755Z AUTO 30022G25KT 4SM CLR 04/04 A2964 RMK AO2 P0001 T00410040,M,-1,-0.5978994996884157,1,3.4695359981430567,1.3899896440185007
OOA,2026-01-24 18:35,3.4,-4.0,70.62,100.0,3.0,0.0,30.58,M,1.75,M,VV ,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,-4.01,KOOA 241835Z AUTO 10003KT 1 3/4SM VV007 M16/M20 A3058 RMK AO2 T11591200,M,-1,-0.5971155888726594,1,-1.2850684839273894,-2.744490939762711
OOA,2026-01-07 04:35,31.0,31.0,100.0,0.0,0.0,0.0,29.84,M,0.25,M,VV ,M,M,M,200.00,M,M,M,M,M,M,M,M,M,M,31.0,KOOA 070435Z AUTO 00000KT 1/4SM VV002 M01/M01 A2984 RMK AO2 T10061006,M,-1,-0.5970970441441775,1,3.076655166830993,-3.3756381318833015
OOA,2026-01-23 14:35,-9.0,-24.3,45.84,350.0,15.0,0.0,30.79,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-32.37,KOOA 231435Z AUTO 35015KT 10SM CLR M23/M31 A3079 RMK AO2 T12281313,M,-1,-0.5967857719943372,1,-4.449450142925578,0.8749734908056868
OOA,2026-01-07 05:15,30.0,30.0,100.0,0.0,0.0,0.0,29.84,M,0.25,M,VV ,M,M,M,200.00,M,M,M,M,M,M,M,M,M,M,30.0,KOOA 070515Z AUTO 00000KT 1/4SM VV002 M01/M01 A2984 RMK AO2 T10111011,M,-1,-0.5967421861996723,1,3.0078709535256056,-3.3955238242470434
OOA,2026-01-07 11:35,29.0,29.0,100.0,0.0,0.0,0.0,29.85,M,0.75,M,VV ,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,29.0,KOOA 071135Z AUTO 00000KT 3/4SM VV005 M02/M02 A2985 RMK AO2 T10161017,M,-1,-0.5966760052847992,1,2.8658625959782245,-3.3718771845241937
OOA,2026-01-24 16:55,1.0,-8.0,65.07,100.0,5.0,0.0,30.64,M,5.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-10.42,KOOA 241655Z AUTO 10005KT 5SM CLR M17/M22 A3064 RMK AO2 T11721223,M,-1,-0.5963045217674434,1,-2.1150851394929924,-2.169768026007279
